Date : 2024-06-30 09:28:01
Directory : e:\Workspace\Applications\talex-touch
Total : 388 files,  65473 codes, 2734 comments, 11192 blanks, all 79399 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\core\electron\modules\box-tool\addon                                                                              |          7 |        500 |         75 |         77 |        652 |
| app\core\electron\modules\box-tool\addon (Files)                                                                      |          1 |         40 |          0 |         14 |         54 |
| app\core\electron\modules\box-tool\addon\apps                                                                         |          6 |        460 |         75 |         63 |        598 |
| app\core\electron\modules\box-tool\addon\apps (Files)                                                                 |          3 |        370 |         71 |         49 |        490 |
| app\core\electron\modules\box-tool\addon\apps\get-mac-app                                                             |          3 |         90 |          4 |         14 |        108 |
| app\core\electron\plugins                                                                                             |          2 |        824 |         42 |        212 |      1,078 |
| app\core\electron\service                                                                                             |          2 |        158 |         25 |         57 |        240 |
| app\core\electron\types                                                                                               |          2 |         66 |         84 |         22 |        172 |
| app\core\electron\utils                                                                                               |          3 |         78 |         53 |         29 |        160 |
| app\core\public                                                                                                       |          5 |         81 |          0 |          2 |         83 |
| app\core\public (Files)                                                                                               |          3 |         61 |          0 |          2 |         63 |
| app\core\public\Documents                                                                                             |          1 |          9 |          0 |          0 |          9 |
| app\core\public\Music                                                                                                 |          1 |         11 |          0 |          0 |         11 |
| app\core\src                                                                                                          |        151 |     14,107 |        725 |      3,637 |     18,469 |
| app\core\src (Files)                                                                                                  |          6 |        205 |         15 |         34 |        254 |
| app\core\src\assets                                                                                                   |          8 |        286 |         15 |        150 |        451 |
| app\core\src\assets (Files)                                                                                           |          1 |         18 |          0 |          1 |         19 |
| app\core\src\assets\docs                                                                                              |          2 |        209 |         15 |        148 |        372 |
| app\core\src\assets\lotties                                                                                           |          5 |         59 |          0 |          1 |         60 |
| app\core\src\base                                                                                                     |          2 |        129 |         62 |         24 |        215 |
| app\core\src\components                                                                                               |         65 |      6,107 |        283 |      1,610 |      8,000 |
| app\core\src\components\addon                                                                                         |          2 |        123 |          0 |         21 |        144 |
| app\core\src\components\base                                                                                          |         32 |      3,325 |        118 |        876 |      4,319 |
| app\core\src\components\base (Files)                                                                                  |          3 |        164 |          6 |         47 |        217 |
| app\core\src\components\base\button                                                                                   |          2 |        201 |          5 |         31 |        237 |
| app\core\src\components\base\checkbox                                                                                 |          1 |         59 |          0 |         14 |         73 |
| app\core\src\components\base\dialog                                                                                   |          5 |      1,124 |         17 |        347 |      1,488 |
| app\core\src\components\base\group                                                                                    |          3 |        328 |         14 |         84 |        426 |
| app\core\src\components\base\input                                                                                    |          5 |        500 |         20 |        132 |        652 |
| app\core\src\components\base\select                                                                                   |          5 |        451 |         20 |         97 |        568 |
| app\core\src\components\base\switch                                                                                   |          2 |        182 |         35 |         56 |        273 |
| app\core\src\components\base\template                                                                                 |          6 |        316 |          1 |         68 |        385 |
| app\core\src\components\icon                                                                                          |          7 |        240 |          2 |         66 |        308 |
| app\core\src\components\icon (Files)                                                                                  |          5 |        188 |          2 |         51 |        241 |
| app\core\src\components\icon\lotties                                                                                  |          1 |         38 |          0 |         10 |         48 |
| app\core\src\components\icon\svg                                                                                      |          1 |         14 |          0 |          5 |         19 |
| app\core\src\components\market                                                                                        |          1 |         21 |          1 |          5 |         27 |
| app\core\src\components\menu                                                                                          |          2 |        144 |          0 |         41 |        185 |
| app\core\src\components\plugin                                                                                        |          9 |      1,133 |         49 |        288 |      1,470 |
| app\core\src\components\plugin (Files)                                                                                |          4 |        511 |         38 |        122 |        671 |
| app\core\src\components\plugin\action                                                                                 |          2 |        257 |          4 |         59 |        320 |
| app\core\src\components\plugin\action (Files)                                                                         |          1 |        170 |          1 |         35 |        206 |
| app\core\src\components\plugin\action\mention                                                                         |          1 |         87 |          3 |         24 |        114 |
| app\core\src\components\plugin\layout                                                                                 |          3 |        365 |          7 |        107 |        479 |
| app\core\src\components\tabs                                                                                          |          9 |        812 |         93 |        236 |      1,141 |
| app\core\src\components\tabs (Files)                                                                                  |          6 |        573 |         70 |        177 |        820 |
| app\core\src\components\tabs\vertical                                                                                 |          3 |        239 |         23 |         59 |        321 |
| app\core\src\components\terminal                                                                                      |          2 |        132 |         16 |         44 |        192 |
| app\core\src\components\tree                                                                                          |          1 |        177 |          4 |         33 |        214 |
| app\core\src\modules                                                                                                  |         21 |      1,340 |        200 |        348 |      1,888 |
| app\core\src\modules (Files)                                                                                          |          1 |         84 |         98 |         27 |        209 |
| app\core\src\modules\channel                                                                                          |          8 |        439 |         47 |        117 |        603 |
| app\core\src\modules\channel (Files)                                                                                  |          1 |        146 |          2 |         33 |        181 |
| app\core\src\modules\channel\main                                                                                     |          3 |         49 |          0 |         19 |         68 |
| app\core\src\modules\channel\plugin-core                                                                              |          2 |         37 |         35 |         21 |         93 |
| app\core\src\modules\channel\storage                                                                                  |          2 |        207 |         10 |         44 |        261 |
| app\core\src\modules\hooks                                                                                            |          8 |        564 |         43 |        139 |        746 |
| app\core\src\modules\hooks (Files)                                                                                    |          4 |        287 |         32 |         77 |        396 |
| app\core\src\modules\hooks\adopters                                                                                   |          1 |         96 |          3 |         21 |        120 |
| app\core\src\modules\hooks\api                                                                                        |          3 |        181 |          8 |         41 |        230 |
| app\core\src\modules\mention                                                                                          |          1 |        166 |         10 |         53 |        229 |
| app\core\src\modules\storage                                                                                          |          3 |         87 |          2 |         12 |        101 |
| app\core\src\styles                                                                                                   |          2 |        303 |         15 |         82 |        400 |
| app\core\src\styles (Files)                                                                                           |          1 |        294 |         15 |         81 |        390 |
| app\core\src\styles\element                                                                                           |          1 |          9 |          0 |          1 |         10 |
| app\core\src\views                                                                                                    |         47 |      5,737 |        135 |      1,389 |      7,261 |
| app\core\src\views\base                                                                                               |         31 |      3,847 |         56 |        853 |      4,756 |
| app\core\src\views\base (Files)                                                                                       |          2 |        603 |          5 |        143 |        751 |
| app\core\src\views\base\application                                                                                   |          4 |        583 |          9 |        141 |        733 |
| app\core\src\views\base\begin                                                                                         |          8 |        619 |          1 |        157 |        777 |
| app\core\src\views\base\begin (Files)                                                                                 |          1 |        103 |          0 |         35 |        138 |
| app\core\src\views\base\begin\internal                                                                                |          7 |        516 |          1 |        122 |        639 |
| app\core\src\views\base\home                                                                                          |          4 |        363 |          3 |         84 |        450 |
| app\core\src\views\base\market                                                                                        |          1 |        230 |          6 |         41 |        277 |
| app\core\src\views\base\plugin                                                                                        |          2 |        248 |          4 |         36 |        288 |
| app\core\src\views\base\settings                                                                                      |          6 |        628 |         14 |        124 |        766 |
| app\core\src\views\base\styles                                                                                        |          4 |        573 |         14 |        127 |        714 |
| app\core\src\views\base\styles (Files)                                                                                |          3 |        451 |         13 |        105 |        569 |
| app\core\src\views\base\styles\sub                                                                                    |          1 |        122 |          1 |         22 |        145 |
| app\core\src\views\box                                                                                                |          5 |        674 |         50 |        194 |        918 |
| app\core\src\views\box (Files)                                                                                        |          4 |        611 |         50 |        175 |        836 |
| app\core\src\views\box\tag                                                                                            |          1 |         63 |          0 |         19 |         82 |
| app\core\src\views\layout                                                                                             |          4 |        456 |          9 |        133 |        598 |
| app\core\src\views\layout (Files)                                                                                     |          1 |        143 |          5 |         47 |        195 |
| app\core\src\views\layout\flat                                                                                        |          3 |        313 |          4 |         86 |        403 |
| app\core\src\views\others                                                                                             |          7 |        760 |         20 |        209 |        989 |
| app\core\src\views\others\account                                                                                     |          6 |        501 |         13 |        130 |        644 |
| app\core\src\views\others\captcha                                                                                     |          1 |        259 |          7 |         79 |        345 |
| app\docs                                                                                                              |         44 |     20,995 |        671 |        848 |     22,514 |
| app\docs (Files)                                                                                                      |          7 |      2,959 |         33 |         51 |      3,043 |
| app\docs\.vitepress                                                                                                   |         17 |     17,372 |        638 |        499 |     18,509 |
| app\docs\.vitepress (Files)                                                                                           |          1 |         42 |         30 |          2 |         74 |
| app\docs\.vitepress\cache                                                                                             |          5 |     16,612 |        548 |        314 |     17,474 |
| app\docs\.vitepress\cache\deps                                                                                        |          5 |     16,612 |        548 |        314 |     17,474 |
| app\docs\.vitepress\config                                                                                            |          2 |         77 |         20 |          5 |        102 |
| app\docs\.vitepress\plugin                                                                                            |          2 |          6 |          5 |          3 |         14 |
| app\docs\.vitepress\theme                                                                                             |          7 |        635 |         35 |        175 |        845 |
| app\docs\.vitepress\theme (Files)                                                                                     |          2 |         15 |         20 |          5 |         40 |
| app\docs\.vitepress\theme\components                                                                                  |          4 |        454 |          4 |        124 |        582 |
| app\docs\.vitepress\theme\components (Files)                                                                          |          2 |        322 |          3 |         91 |        416 |
| app\docs\.vitepress\theme\components\base                                                                             |          2 |        132 |          1 |         33 |        166 |
| app\docs\.vitepress\theme\style                                                                                       |          1 |        166 |         11 |         46 |        223 |
| app\docs\docs                                                                                                         |         15 |        588 |          0 |        296 |        884 |
| app\docs\docs (Files)                                                                                                 |          1 |         34 |          0 |         17 |         51 |
| app\docs\docs\about                                                                                                   |          2 |        154 |          0 |         58 |        212 |
| app\docs\docs\documents                                                                                               |          3 |         81 |          0 |         61 |        142 |
| app\docs\docs\plugins                                                                                                 |          8 |        317 |          0 |        158 |        475 |
| app\docs\docs\plugins (Files)                                                                                         |          2 |         80 |          0 |         42 |        122 |
| app\docs\docs\plugins\api                                                                                             |          1 |          5 |          0 |          2 |          7 |
| app\docs\docs\plugins\config                                                                                          |          2 |        229 |          0 |        114 |        343 |
| app\docs\docs\plugins\feature                                                                                         |          3 |          3 |          0 |          0 |          3 |
| app\docs\docs\q-a                                                                                                     |          1 |          2 |          0 |          2 |          4 |
| app\docs\images                                                                                                       |          5 |         76 |          0 |          2 |         78 |
| app\docs\images (Files)                                                                                               |          1 |         18 |          0 |          1 |         19 |
| app\docs\images\assets                                                                                                |          4 |         58 |          0 |          1 |         59 |
| app\docs\images\assets\lotties                                                                                        |          4 |         58 |          0 |          1 |         59 |
| app\pc-app                                                                                                            |          2 |        183 |          9 |          2 |        194 |
| app\pc-app\dist-electron                                                                                              |          2 |        183 |          9 |          2 |        194 |
| app\pc-app\dist-electron\main                                                                                         |          1 |         86 |          6 |          1 |         93 |
| app\pc-app\dist-electron\preload                                                                                      |          1 |         97 |          3 |          1 |        101 |
| packages                                                                                                              |         32 |      1,277 |        336 |        307 |      1,920 |
| packages\help                                                                                                         |          1 |         32 |          0 |          7 |         39 |
| packages\test                                                                                                         |          6 |         72 |         84 |         20 |        176 |
| packages\test (Files)                                                                                                 |          4 |         51 |         84 |         12 |        147 |
| packages\test\src                                                                                                     |          2 |         21 |          0 |          8 |         29 |
| packages\test\src (Files)                                                                                             |          1 |          1 |          0 |          0 |          1 |
| packages\test\src\common                                                                                              |          1 |         20 |          0 |          8 |         28 |
| packages\touch-view                                                                                                   |          5 |        301 |         36 |         41 |        378 |
| packages\utils                                                                                                        |         20 |        872 |        216 |        239 |      1,327 |
| packages\utils (Files)                                                                                                |          2 |         30 |          0 |          2 |         32 |
| packages\utils\base                                                                                                   |          1 |        159 |          0 |         23 |        182 |
| packages\utils\channel                                                                                                |          1 |         46 |         46 |         16 |        108 |
| packages\utils\common                                                                                                 |          2 |         74 |          3 |         20 |         97 |
| packages\utils\eventbus                                                                                               |          1 |         22 |         53 |         13 |         88 |
| packages\utils\permission                                                                                             |          1 |         11 |         32 |          6 |         49 |
| packages\utils\plugin                                                                                                 |          9 |        407 |         45 |        118 |        570 |
| packages\utils\plugin (Files)                                                                                         |          3 |        288 |          6 |         66 |        360 |
| packages\utils\plugin\sdk                                                                                             |          6 |        119 |         39 |         52 |        210 |
| packages\utils\plugin\sdk (Files)                                                                                     |          2 |         29 |          1 |         12 |         42 |
| packages\utils\plugin\sdk\hooks                                                                                       |          2 |         40 |         36 |         21 |         97 |
| packages\utils\plugin\sdk\service                                                                                     |          1 |         20 |          2 |          8 |         30 |
| packages\utils\plugin\sdk\window                                                                                      |          1 |         30 |          0 |         11 |         41 |
| packages\utils\renderer                                                                                               |          1 |         44 |          0 |         11 |         55 |
| packages\utils\service                                                                                                |          2 |         79 |         37 |         30 |        146 |
| packages\utils\service (Files)                                                                                        |          1 |         19 |         37 |         12 |         68 |
| packages\utils\service\protocol                                                                                       |          1 |         60 |          0 |         18 |         78 |
| plugins                                                                                                               |         85 |     10,921 |        328 |      1,895 |     13,144 |
| plugins\touch-image                                                                                                   |         13 |        281 |         20 |         51 |        352 |
| plugins\touch-image (Files)                                                                                           |          7 |        149 |         17 |         18 |        184 |
| plugins\touch-image\public                                                                                            |          1 |          1 |          0 |          0 |          1 |
| plugins\touch-image\src                                                                                               |          5 |        131 |          3 |         33 |        167 |
| plugins\touch-image\src (Files)                                                                                       |          4 |        130 |          3 |         33 |        166 |
| plugins\touch-image\src\assets                                                                                        |          1 |          1 |          0 |          0 |          1 |
| plugins\touch-music                                                                                                   |         44 |      3,525 |        278 |        942 |      4,745 |
| plugins\touch-music (Files)                                                                                           |          8 |        665 |         99 |        105 |        869 |
| plugins\touch-music\public                                                                                            |          1 |          1 |          0 |          0 |          1 |
| plugins\touch-music\src                                                                                               |         35 |      2,859 |        179 |        837 |      3,875 |
| plugins\touch-music\src (Files)                                                                                       |          3 |         96 |          3 |         33 |        132 |
| plugins\touch-music\src\assets                                                                                        |          1 |          1 |          0 |          0 |          1 |
| plugins\touch-music\src\components                                                                                    |         23 |      2,367 |        139 |        651 |      3,157 |
| plugins\touch-music\src\components\button                                                                             |          1 |         89 |          8 |         13 |        110 |
| plugins\touch-music\src\components\display                                                                            |          2 |        230 |          1 |         69 |        300 |
| plugins\touch-music\src\components\icon                                                                               |          3 |        176 |          5 |         38 |        219 |
| plugins\touch-music\src\components\music                                                                              |         17 |      1,872 |        125 |        531 |      2,528 |
| plugins\touch-music\src\components\music (Files)                                                                      |          3 |        402 |          8 |        108 |        518 |
| plugins\touch-music\src\components\music\base                                                                         |          2 |        113 |          7 |         32 |        152 |
| plugins\touch-music\src\components\music\bg                                                                           |          1 |         33 |         22 |         10 |         65 |
| plugins\touch-music\src\components\music\layout                                                                       |          4 |        582 |         12 |        175 |        769 |
| plugins\touch-music\src\components\music\particle                                                                     |          2 |        111 |         22 |         43 |        176 |
| plugins\touch-music\src\components\music\particle\bg                                                                  |          2 |        111 |         22 |         43 |        176 |
| plugins\touch-music\src\components\music\song                                                                         |          2 |        195 |          5 |         29 |        229 |
| plugins\touch-music\src\components\music\word-lyric                                                                   |          3 |        436 |         49 |        134 |        619 |
| plugins\touch-music\src\components\music\word-lyric (Files)                                                           |          2 |        345 |         31 |        102 |        478 |
| plugins\touch-music\src\components\music\word-lyric\leaf                                                              |          1 |         91 |         18 |         32 |        141 |
| plugins\touch-music\src\modules                                                                                       |          7 |        387 |         37 |        151 |        575 |
| plugins\touch-music\src\modules (Files)                                                                               |          3 |        122 |         15 |         41 |        178 |
| plugins\touch-music\src\modules\api                                                                                   |          1 |          1 |          0 |          0 |          1 |
| plugins\touch-music\src\modules\entity                                                                                |          3 |        264 |         22 |        110 |        396 |
| plugins\touch-music\src\styles                                                                                        |          1 |          8 |          0 |          2 |         10 |
| plugins\touch-music\src\styles\element                                                                                |          1 |          8 |          0 |          2 |         10 |
| plugins\touch-translation                                                                                             |         28 |      7,115 |         30 |        902 |      8,047 |
| plugins\touch-translation (Files)                                                                                     |         12 |      6,921 |         30 |        854 |      7,805 |
| plugins\touch-translation\public                                                                                      |          1 |          9 |          0 |          1 |         10 |
| plugins\touch-translation\src                                                                                         |         13 |        162 |          0 |         39 |        201 |
| plugins\touch-translation\src (Files)                                                                                 |          2 |         18 |          0 |          4 |         22 |
| plugins\touch-translation\src\components                                                                              |          4 |         53 |          0 |         12 |         65 |
| plugins\touch-translation\src\composables                                                                             |          2 |          3 |          0 |          2 |          5 |
| plugins\touch-translation\src\pages                                                                                   |          4 |         78 |          0 |         19 |         97 |
| plugins\touch-translation\src\pages (Files)                                                                           |          3 |         58 |          0 |         16 |         74 |
| plugins\touch-translation\src\pages\hi                                                                                |          1 |         20 |          0 |          3 |         23 |
| plugins\touch-translation\src\styles                                                                                  |          1 |         10 |          0 |          2 |         12 |
| plugins\touch-translation\test                                                                                        |          2 |         23 |          0 |          8 |         31 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\Workspace\Applications\talex-touch\.github\ISSUE_TEMPLATE\bug_report.md                                            | Markdown           |         29 |         12 |         22 |         63 |
| e:\Workspace\Applications\talex-touch\.github\ISSUE_TEMPLATE\help_wanted.md                                           | Markdown           |         22 |          4 |         17 |         43 |
| e:\Workspace\Applications\talex-touch\.github\PULL_REQUEST_TEMPLATE.md                                                | Markdown           |         10 |          0 |          7 |         17 |
| e:\Workspace\Applications\talex-touch\.github\dependabot.yml                                                          | YAML               |          6 |          4 |          2 |         12 |
| e:\Workspace\Applications\talex-touch\.github\docs\contribution\CONTRIBUTING.md                                       | Markdown           |         71 |          0 |         28 |         99 |
| e:\Workspace\Applications\talex-touch\.github\docs\contribution\CONTRIBUTING_zh.md                                    | Markdown           |         70 |          0 |         28 |         98 |
| e:\Workspace\Applications\talex-touch\.github\workflows\ci.yml                                                        | YAML               |         71 |          1 |          9 |         81 |
| e:\Workspace\Applications\talex-touch\.github\workflows\main.yml                                                      | YAML               |         28 |         13 |         11 |         52 |
| e:\Workspace\Applications\talex-touch\.github\workflows\readme-contributors.yml                                       | YAML               |         14 |          3 |          3 |         20 |
| e:\Workspace\Applications\talex-touch\README.md                                                                       | Markdown           |         90 |          0 |         59 |        149 |
| e:\Workspace\Applications\talex-touch\Touch.code-workspace                                                            | JSON with Comments |         17 |          0 |          0 |         17 |
| e:\Workspace\Applications\talex-touch\app\core\README.md                                                              | Markdown           |         11 |          0 |          8 |         19 |
| e:\Workspace\Applications\talex-touch\app\core\auto-imports.d.ts                                                      | TypeScript         |         59 |          7 |          1 |         67 |
| e:\Workspace\Applications\talex-touch\app\core\components.d.ts                                                        | TypeScript         |         76 |          5 |          2 |         83 |
| e:\Workspace\Applications\talex-touch\app\core\electron-builder.json5                                                 | JSON5              |         35 |          3 |          1 |         39 |
| e:\Workspace\Applications\talex-touch\app\core\electron\channel\common.ts                                             | TypeScript         |        100 |         12 |         17 |        129 |
| e:\Workspace\Applications\talex-touch\app\core\electron\config\default.ts                                             | TypeScript         |         44 |          0 |          6 |         50 |
| e:\Workspace\Applications\talex-touch\app\core\electron\core\addon\device\blue-tooth.ts                               | TypeScript         |         17 |         63 |         12 |         92 |
| e:\Workspace\Applications\talex-touch\app\core\electron\core\addon\device\screen-capture.ts                           | TypeScript         |         16 |         11 |          8 |         35 |
| e:\Workspace\Applications\talex-touch\app\core\electron\core\addon\home-gear\preload.ts                               | TypeScript         |         77 |          7 |          9 |         93 |
| e:\Workspace\Applications\talex-touch\app\core\electron\core\addon\window\window-style.ts                             | TypeScript         |          0 |          1 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\core\electron\core\channel-core.ts                                          | TypeScript         |        167 |          1 |         39 |        207 |
| e:\Workspace\Applications\talex-touch\app\core\electron\core\eventbus\touch-event.ts                                  | TypeScript         |        119 |         72 |         48 |        239 |
| e:\Workspace\Applications\talex-touch\app\core\electron\core\storage\index.ts                                         | TypeScript         |         89 |          1 |         21 |        111 |
| e:\Workspace\Applications\talex-touch\app\core\electron\core\touch-core.ts                                            | TypeScript         |        362 |         61 |         90 |        513 |
| e:\Workspace\Applications\talex-touch\app\core\electron\electron-env.d.ts                                             | TypeScript         |         22 |         17 |          5 |         44 |
| e:\Workspace\Applications\talex-touch\app\core\electron\index.ts                                                      | TypeScript         |         30 |          0 |          4 |         34 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\addon-opener.ts                                       | TypeScript         |         95 |         14 |         23 |        132 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\addon\app-addon.ts                           | TypeScript         |         40 |          0 |         14 |         54 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\addon\apps\darwin.ts                         | TypeScript         |         66 |         43 |         12 |        121 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\addon\apps\get-mac-app\app2png.ts            | TypeScript         |         46 |          0 |          5 |         51 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\addon\apps\get-mac-app\getApps.ts            | TypeScript         |         33 |          4 |          7 |         44 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\addon\apps\get-mac-app\index.ts              | TypeScript         |         11 |          0 |          2 |         13 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\addon\apps\linux.ts                          | TypeScript         |        186 |         16 |         18 |        220 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\addon\apps\win.ts                            | TypeScript         |        118 |         12 |         19 |        149 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\core-box.ts                                  | TypeScript         |        221 |         14 |         66 |        301 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\box-tool\division-box.ts                              | TypeScript         |          0 |          0 |          1 |          1 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\clipboard.ts                                          | TypeScript         |         91 |          5 |         26 |        122 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\drop-manager.ts                                       | TypeScript         |         18 |          0 |          4 |         22 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\extension-loader.ts                                   | TypeScript         |         21 |          0 |          4 |         25 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\global-shortcon.ts                                    | TypeScript         |         64 |          0 |         11 |         75 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\permission-center.ts                                  | TypeScript         |         65 |          0 |         25 |         90 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\terminal-cmd.ts                                       | TypeScript         |          8 |          1 |          3 |         12 |
| e:\Workspace\Applications\talex-touch\app\core\electron\modules\tray-holder.ts                                        | TypeScript         |         86 |          9 |         42 |        137 |
| e:\Workspace\Applications\talex-touch\app\core\electron\plugins\plugin-core.ts                                        | TypeScript         |        701 |         27 |        180 |        908 |
| e:\Workspace\Applications\talex-touch\app\core\electron\plugins\plugin-resolver.ts                                    | TypeScript         |        123 |         15 |         32 |        170 |
| e:\Workspace\Applications\talex-touch\app\core\electron\polyfills.ts                                                  | TypeScript         |         54 |          4 |          8 |         66 |
| e:\Workspace\Applications\talex-touch\app\core\electron\preload.ts                                                    | TypeScript         |        120 |          7 |         23 |        150 |
| e:\Workspace\Applications\talex-touch\app\core\electron\service\protocol-handler.ts                                   | TypeScript         |         14 |         16 |          6 |         36 |
| e:\Workspace\Applications\talex-touch\app\core\electron\service\service-center.ts                                     | TypeScript         |        144 |          9 |         51 |        204 |
| e:\Workspace\Applications\talex-touch\app\core\electron\types\index.ts                                                | TypeScript         |          1 |          2 |          2 |          5 |
| e:\Workspace\Applications\talex-touch\app\core\electron\types\touch-core.ts                                           | TypeScript         |         65 |         82 |         20 |        167 |
| e:\Workspace\Applications\talex-touch\app\core\electron\utils\common-util.ts                                          | TypeScript         |         31 |         47 |          9 |         87 |
| e:\Workspace\Applications\talex-touch\app\core\electron\utils\plugin-injection.ts                                     | TypeScript         |         42 |          6 |         19 |         67 |
| e:\Workspace\Applications\talex-touch\app\core\electron\utils\screen-util.ts                                          | TypeScript         |          5 |          0 |          1 |          6 |
| e:\Workspace\Applications\talex-touch\app\core\generator-information.ts                                               | TypeScript         |         84 |          1 |         18 |        103 |
| e:\Workspace\Applications\talex-touch\app\core\index.html                                                             | HTML               |         26 |          1 |          5 |         32 |
| e:\Workspace\Applications\talex-touch\app\core\package.json                                                           | JSON               |         90 |          0 |          1 |         91 |
| e:\Workspace\Applications\talex-touch\app\core\public\Documents\desktop.ini                                           | Ini                |          9 |          0 |          0 |          9 |
| e:\Workspace\Applications\talex-touch\app\core\public\Music\desktop.ini                                               | Ini                |         11 |          0 |          0 |         11 |
| e:\Workspace\Applications\talex-touch\app\core\public\electron-vite.animate.svg                                       | HTML               |         34 |          0 |          1 |         35 |
| e:\Workspace\Applications\talex-touch\app\core\public\electron-vite.svg                                               | HTML               |         26 |          0 |          1 |         27 |
