Date : 2024-06-30 09:28:01
Directory : e:\Workspace\Applications\talex-touch
Total : 388 files,  65473 codes, 2734 comments, 11192 blanks, all 79399 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Workspace\Applications\talex-touch\packages\touch-view\auto-imports.d.ts                                           | TypeScript         |         59 |          7 |          1 |         67 |
| e:\Workspace\Applications\talex-touch\packages\touch-view\components.d.ts                                             | TypeScript         |          7 |          5 |          2 |         14 |
| e:\Workspace\Applications\talex-touch\packages\touch-view\package.json                                                | JSON               |         89 |          0 |          1 |         90 |
| e:\Workspace\Applications\talex-touch\packages\touch-view\vite.config.ts                                              | TypeScript         |        104 |         24 |          5 |        133 |
| e:\Workspace\Applications\talex-touch\packages\utils\base\index.ts                                                    | TypeScript         |        159 |          0 |         23 |        182 |
| e:\Workspace\Applications\talex-touch\packages\utils\channel\index.ts                                                 | TypeScript         |         46 |         46 |         16 |        108 |
| e:\Workspace\Applications\talex-touch\packages\utils\common\env-tool.ts                                               | TypeScript         |         49 |          1 |          7 |         57 |
| e:\Workspace\Applications\talex-touch\packages\utils\common\index.ts                                                  | TypeScript         |         25 |          2 |         13 |         40 |
| e:\Workspace\Applications\talex-touch\packages\utils\eventbus\index.ts                                                | TypeScript         |         22 |         53 |         13 |         88 |
| e:\Workspace\Applications\talex-touch\packages\utils\index.ts                                                         | TypeScript         |          0 |          0 |          1 |          1 |
| e:\Workspace\Applications\talex-touch\packages\utils\package.json                                                     | JSON               |         30 |          0 |          1 |         31 |
| e:\Workspace\Applications\talex-touch\packages\utils\permission\index.ts                                              | TypeScript         |         11 |         32 |          6 |         49 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\channel.ts                                                | TypeScript         |        152 |          5 |         37 |        194 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\index.ts                                                  | TypeScript         |        104 |          0 |         22 |        126 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\preload.ts                                                | TypeScript         |         32 |          1 |          7 |         40 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\sdk\common.ts                                             | TypeScript         |         19 |          0 |          9 |         28 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\sdk\hooks\index.ts                                        | TypeScript         |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\sdk\hooks\life-cycle.ts                                   | TypeScript         |         39 |         36 |         21 |         96 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\sdk\index.ts                                              | TypeScript         |         10 |          1 |          3 |         14 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\sdk\service\index.ts                                      | TypeScript         |         20 |          2 |          8 |         30 |
| e:\Workspace\Applications\talex-touch\packages\utils\plugin\sdk\window\index.ts                                       | TypeScript         |         30 |          0 |         11 |         41 |
| e:\Workspace\Applications\talex-touch\packages\utils\renderer\ref.ts                                                  | TypeScript         |         44 |          0 |         11 |         55 |
| e:\Workspace\Applications\talex-touch\packages\utils\service\index.ts                                                 | TypeScript         |         19 |         37 |         12 |         68 |
| e:\Workspace\Applications\talex-touch\packages\utils\service\protocol\index.ts                                        | TypeScript         |         60 |          0 |         18 |         78 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\README.md                                                   | Markdown           |         11 |          0 |          8 |         19 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\index.html                                                  | HTML               |         13 |         10 |          1 |         24 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\package.json                                                | JSON               |         60 |          0 |          1 |         61 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\public\vite.svg                                             | HTML               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\src\App.vue                                                 | Vue                |         96 |          1 |         22 |        119 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\src\assets\vue.svg                                          | HTML               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\src\main.ts                                                 | TypeScript         |         13 |          1 |          6 |         20 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\src\style.css                                               | PostCSS            |         21 |          0 |          4 |         25 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\src\vite-env.d.ts                                           | TypeScript         |          0 |          1 |          1 |          2 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\tsconfig.json                                               | JSON with Comments |         21 |          2 |          3 |         26 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\tsconfig.node.json                                          | JSON               |         10 |          0 |          1 |         11 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\vite.config.ts                                              | TypeScript         |         16 |          2 |          3 |         21 |
| e:\Workspace\Applications\talex-touch\plugins\touch-image\vite.config.ts.timestamp-1719106691581-0b90f1a019b44.mjs    | JavaScript         |         18 |          3 |          1 |         22 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\README.md                                                   | Markdown           |          4 |          0 |          4 |          8 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\index.html                                                  | HTML               |         13 |          0 |          1 |         14 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\init.json                                                   | JSON               |         17 |          0 |          1 |         18 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\package.json                                                | JSON               |         30 |          0 |          1 |         31 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\pnpm-lock.yaml                                              | YAML               |        553 |          0 |         85 |        638 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\preload.js                                                  | JavaScript         |          0 |         19 |          1 |         20 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\public\vite.svg                                             | HTML               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\App.vue                                                 | Vue                |         65 |          2 |         24 |         91 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\assets\vue.svg                                          | HTML               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\button\IconButton.vue                        | Vue                |         89 |          8 |         13 |        110 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\display\IndexImages.vue                      | Vue                |         98 |          1 |         37 |        136 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\display\PlayStation.vue                      | Vue                |        132 |          0 |         32 |        164 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\icon\MusicWaving.vue                         | Vue                |         90 |          0 |         21 |        111 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\icon\PlayPause.vue                           | Vue                |         58 |          0 |         13 |         71 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\icon\RemixIcon.vue                           | Vue                |         28 |          5 |          4 |         37 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\FooterFunction.vue                     | Vue                |         92 |          0 |         22 |        114 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\FullScreenLyric.vue                    | Vue                |        243 |          8 |         75 |        326 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\PlayList.vue                           | Vue                |         67 |          0 |         11 |         78 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\base\PlayProgressBar.old.old.vue       | Vue                |         62 |          6 |         20 |         88 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\base\PlayProgressBar.vue               | Vue                |         51 |          1 |         12 |         64 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\bg\BlurBackGround.vue                  | Vue                |         33 |         22 |         10 |         65 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\layout\Banners.vue                     | Vue                |        169 |          0 |         49 |        218 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\layout\Footer.vue                      | Vue                |        230 |         10 |         78 |        318 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\layout\Header.vue                      | Vue                |         88 |          2 |         24 |        114 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\layout\SearchResults.vue               | Vue                |         95 |          0 |         24 |        119 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\particle\bg\WavingParticle.outdate.vue | Vue                |         55 |          2 |         18 |         75 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\particle\bg\WavingParticle.vue         | Vue                |         56 |         20 |         25 |        101 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\song\Singers.vue                       | Vue                |         30 |          1 |          2 |         33 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\song\SongItem.vue                      | Vue                |        165 |          4 |         27 |        196 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\word-lyric\WordLyricItem.vue           | Vue                |        272 |         25 |         73 |        370 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\word-lyric\WordLyricScroller.vue       | Vue                |         73 |          6 |         29 |        108 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\components\music\word-lyric\leaf\LyricScroller.vue      | Vue                |         91 |         18 |         32 |        141 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\main.js                                                 | JavaScript         |         10 |          0 |          4 |         14 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\modules\api\index.ts                                    | TypeScript         |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\modules\axios.js                                        | JavaScript         |         17 |         14 |          8 |         39 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\modules\entity\play-manager.ts                          | TypeScript         |         47 |          9 |         25 |         81 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\modules\entity\song-manager.ts                          | TypeScript         |        141 |         13 |         61 |        215 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\modules\entity\song-resolver.ts                         | TypeScript         |         76 |          0 |         24 |        100 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\modules\lyric.ts                                        | TypeScript         |         40 |          1 |         18 |         59 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\modules\utils.ts                                        | TypeScript         |         65 |          0 |         15 |         80 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\style.css                                               | PostCSS            |         21 |          1 |          5 |         27 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\src\styles\element\index.scss                               | SCSS               |          8 |          0 |          2 |         10 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\tsconfig.json                                               | JSON with Comments |         20 |         76 |          9 |        105 |
| e:\Workspace\Applications\talex-touch\plugins\touch-music\vite.config.js                                              | JavaScript         |         28 |          4 |          3 |         35 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\README.md                                             | Markdown           |         55 |          0 |         33 |         88 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\auto-imports.d.ts                                     | TypeScript         |        861 |          8 |          1 |        870 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\components.d.ts                                       | TypeScript         |         10 |          5 |          2 |         17 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\eslint.config.js                                      | JavaScript         |          7 |          0 |          2 |          9 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\index.html                                            | HTML               |         27 |          0 |          1 |         28 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\package.json                                          | JSON               |         54 |          0 |          1 |         55 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\pnpm-lock.yaml                                        | YAML               |      5,781 |          0 |        798 |      6,579 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\public\favicon.svg                                    | HTML               |          9 |          0 |          1 |         10 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\shims.d.ts                                            | TypeScript         |          5 |          0 |          2 |          7 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\App.vue                                           | Vue                |          6 |          0 |          1 |          7 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\components\README.md                              | Markdown           |          5 |          0 |          5 |         10 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\components\TheCounter.vue                         | Vue                |         17 |          0 |          3 |         20 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\components\TheFooter.vue                          | Vue                |         14 |          0 |          2 |         16 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\components\TheInput.vue                           | Vue                |         17 |          0 |          2 |         19 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\composables\dark.ts                               | TypeScript         |          2 |          0 |          1 |          3 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\composables\index.ts                              | TypeScript         |          1 |          0 |          1 |          2 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\main.ts                                           | TypeScript         |         12 |          0 |          3 |         15 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\pages\README.md                                   | Markdown           |         13 |          0 |          8 |         21 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\pages\[...all].vue                                | Vue                |          5 |          0 |          1 |          6 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\pages\hi\[name].vue                               | Vue                |         20 |          0 |          3 |         23 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\pages\index.vue                                   | Vue                |         40 |          0 |          7 |         47 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\src\styles\main.css                                   | PostCSS            |         10 |          0 |          2 |         12 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\test\basic.test.ts                                    | TypeScript         |          6 |          0 |          2 |          8 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\test\component.test.ts                                | TypeScript         |         17 |          0 |          6 |         23 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\tsconfig.json                                         | JSON with Comments |         26 |          0 |          1 |         27 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\typed-router.d.ts                                     | TypeScript         |         14 |          9 |          3 |         26 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\uno.config.ts                                         | TypeScript         |         28 |          0 |          2 |         30 |
| e:\Workspace\Applications\talex-touch\plugins\touch-translation\vite.config.ts                                        | TypeScript         |         53 |          8 |          8 |         69 |
| e:\Workspace\Applications\talex-touch\pnpm-lock.yaml                                                                  | YAML               |     13,194 |          0 |      3,371 |     16,565 |
| e:\Workspace\Applications\talex-touch\pnpm-workspace.yaml                                                             | YAML               |          5 |          0 |          1 |          6 |
| e:\Workspace\Applications\talex-touch\vitest.workspace.js                                                             | JavaScript         |          9 |          0 |          2 |         11 |
| Total                                                                                                                 |                    |     65,473 |      2,734 |     11,192 |     79,399 |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
